# ไฟล์คำศัพท์ภาษาญี่ปุ่น
# รูปแบบ: คำถาม|การอ่าน|ความหมาย
# บรรทัดขึ้นต้น # คือ comment จะถูกข้าม

[JLPT N3 Vocabulary]
ＩＯＣ：国際オリンピック委員会|アイオーシー：こくさいオリンピックいいんかい|คณะกรรมการโอลิมปิกสากล
開始（する）|かいし（する）|การเริ่มต้น, การเริ่มขึ้น
解消（する）|かいしょう（する）|การถอน (หมั้น), การยกเลิก (สัญญา), การผ่อนคลาย (ความเครียด), ยุบ (องค์กร, หน่วยงาน)
外食（する）|がいしょく（する）|การรับประทานอาหารนอกบ้าน
海水浴|かいすいよく|การอาบน้ำหรือเล่นน้ำทะเล
改装（する）|かいそう（する）|การตกแต่งร้านใหม่
快適な|かいてきな|(อยู่) สบาย
回答（する）|かいとう（する）|คำตอบ, เฉลย
開発（する）|かいはつ（する）|การพัฒนา (ที่ดิน, ชนบท, ทรัพยากร, ความสามารถ), การพัฒนาคิดค้นสิ่งใหม่
会費|かいひ|ค่าร่วมงาน, ค่าสมาชิก
飼う|かう|เลี้ยง (สัตว์)
画家|がか|จิตรกร
下記|かき|ดังต่อไปนี้, ระบุไว้ด้านล่าง, ระบุไว้ตอนท้าย
（肌を）かく|（はだを）かく|เกา, ข่วน (ผิวหนัง)
～学：ある分野の学問を表す|～がく|วิชา..., ...ศาสตร์ : แสดงถึงความรู้ทางวิชาการในสาขาใดสาขาหนึ่ง
確認（する）|かくにん（する）|การตรวจสอบให้แน่ใจอีกครั้ง
学費|がくひ|ค่าเล่าเรียน
学部|がくぶ|คณะในมหาวิทยาลัย
加工（する）|かこう（する）|การแปรรูป
（練習／努力を）重ねる|（れんしゅう／どりょくを）かさねる|(ฝึกฝน/พยายาม) ซ้ำแล้วซ้ำเล่า
家事|かじ|งานบ้าน
歌手|かしゅ|นักร้อง
画像|がぞう|ภาพเหมือน, ภาพบนจอภาพ
数える|かぞえる|นับ
片思い（する）|かたおもい（する）|การรักข้างเดียว
片手|かたて|มือข้างหนึ่ง, มือเดียว
語る|かたる|เล่าให้ฟัง, เล่าเรื่อง
がっかり（する）||การผิดหวัง, การเสียใจ
かっこいい||ดูดี, เท่, สมาร์ท
勝手な|かってな|เอาตัวเองเป็นหลัก, ตามอำเภอใจ, เอาแต่ได้
カット（する）||การตัดทอน, การตัดแต่ง, คัท (ในการถ่ายทำภาพยนตร์)
活動（する）|かつどう（する）|กิจกรรม, การปฏิบัติงานหรือแสดงพฤติกรรมต่างๆ อย่างแข็งขัน
活躍（する）|かつやく（する）|การสร้างผลงานหรือมีบทบาทในด้านต่างๆ, การขะมักเขม้นทำงาน
悲しい|かなしい|เศร้า
カビ||รา
カフェ||ร้านกาแฟ
花粉症|かふんしょう|อาการแพ้ละอองเกสรดอกไม้
髪型|かみがた|ทรงผม
画面|がめん|จอภาพ, ผิวภาพ
科目|かもく|วิชา, หมวดหมู่
かゆい||(อาการ) คัน
体を壊す|からだをこわす|ทำลายสุขภาพ
カロリー||แคลอรี
かわいがる||รัก, เอ็นดู, ให้ความเมตตา
眼科|がんか|จักษุศาสตร์, แผนกตา
観客|かんきゃく|ผู้ชม
関係|かんけい|ความเกี่ยวข้อง, ความสัมพันธ์
観光客|かんこうきゃく|นักท่องเที่ยว
観光地|かんこうち|สถานที่ท่องเที่ยว
韓国語|かんこくご|ภาษาเกาหลี
看護師|かんごし|พยาบาล
がんこな||ดื้อดึง, หัวรั้น
感謝（する）|かんしゃ（する）|ความรู้สึกขอบคุณ
完成（する）|かんせい（する）|การทำให้เสร็จสมบูรณ์
感染（する）|かんせん（する）|การติดเชื้อ
乾燥（する）|かんそう（する）|การตากให้แห้ง, การทำให้แห้ง
管理（する）|かんり（する）|การดูแล, การควบคุม, การจัดการ
キーンと痛くなる|キーンといたくなる|เสียวแปล๊บ (ความรู้สึกเวลากินของเย็นๆ)
機械工学|きかいこうがく|วิศวกรรมเครื่องกล
機嫌|きげん|อารมณ์
気候|きこう|อากาศ (ตามฤดูกาล), สภาพภูมิอากาศ
記者会見|きしゃかいけん|งานแถลงข่าว
機種|きしゅ|ประเภท (เครื่องบิน, เครื่องจักร)
技術|ぎじゅつ|เทคนิค, เทคโนโลยี
きず||แผล, บาดแผล, รอยตำหนิ, ริ้วรอย
季節|きせつ|ฤดูกาล
期待（する）|きたい（する）|การคาดหวัง
きたえる||ฝึกปรือ, ฝึกซ้อมให้ดีขึ้น
きっかけ||เหตุจูงใจ, สาเหตุ
機内（＝飛行機の客室内）|きない|ภายในห้องโดยสารในเครื่องบิน
気に入る|きにいる|ชอบ, ถูกใจ
機能|きのう|หน้าที่, บทบาท, การทำงาน, ความสามารถ
希望（する）|きぼう（する）|การคาดหวัง, ความต้องการ
希望者|きぼうしゃ|ผู้ที่มีความประสงค์
期末|きまつ|ปลายเทอม
気持ちを込める|きもちをこめる|ใส่ความรู้สึก
キャッシュカード||บัตรเอทีเอ็ม
キャンセル（する）||การยกเลิก
休暇|きゅうか|วันหยุด, วันพักร้อน, วันลา
休館日|きゅうかんび|วันหยุดทำการ (ของสถานที่ต่างๆ เช่น พิพิธภัณฑ์)
休憩（する）|きゅうけい（する）|การหยุดพักชั่วครู่
休校|きゅうこう|การปิดโรงเรียนชั่วคราว
急行（＝急行電車）|きゅうこう|รถไฟด่วน
休日|きゅうじつ|วันหยุด
求人|きゅうじん|การรับสมัครพนักงาน
急停車（する）|きゅうていしゃ（する）|การหยุดขบวนรถไฟกะทันหัน
牛丼屋|ぎゅうどんや|ร้านขายข้าวหน้าเนื้อ
（角度が）急な|（かくどが）きゅうな|(มุม) ลาดชัน, สูงชัน
急に|きゅうに|ด่วน, กะทันหัน, ฉับพลัน
休養（する）|きゅうよう（する）|การพักฟื้น, การพักผ่อนหลังตรากตรำทำงาน
キュウリ||แตงกวา
教師|きょうし|ครู, อาจารย์, ผู้สอน
競走|きょうそう|การวิ่งแข่ง
競争（する）|きょうそう（する）|การแข่งขัน, การชิงดีชิงเด่น
共存（する）|きょうぞん（する）|การอยู่ร่วมกัน
共通（する）|きょうつう（する）|(จุด) ร่วมกัน, เหมือนกัน
強風|きょうふう|ลมแรง
興味|きょうみ|ความสนใจ
協力（する）|きょうりょく（する）|ความร่วมมือ, การร่วมแรงร่วมใจ
許可（する）|きょか（する）|การอนุญาต, การอนุมัติ
漁業|ぎょぎょう|การประมง, อุตสาหกรรมประมง
嫌う|きらう|ไม่ชอบ, เกลียด
禁煙（する）|きんえん（する）|การห้ามสูบบุหรี่
緊急，緊急な|きんきゅう，きんきゅうな|เร่งด่วน, ฉุกเฉิน
緊張（する）|きんちょう（する）|ความตึงเครียด, ความตื่นเต้นประหม่า
勤務（する）|きんむ（する）|การปฏิบัติงาน, การปฏิบัติหน้าที่
勤務地|きんむち|สถานที่ทำงาน
具合|ぐあい|อาการ, สภาพ
空気|くうき|อากาศ (ที่หายใจ)
クーポン券|クーポンけん|คูปอง
区画|くかく|เขต, การแบ่งเขต
具体的な|ぐたいてきな|ที่เป็นรูปธรรม
クッキー||คุกกี้
ぐつぐつ||(เสียงเดือด) ปุด ๆ, เสียงหายใจติดขัดเวลาเป็นหวัด, (ร้องไห้) คร่ำครวญ
工夫（する）|くふう（する）|การปรับเปลี่ยนดัดแปลงให้เหมาะสม, การคิดพลิกแพลงให้เหมาะสม
雲|くも|เมฆ
区役所|くやくしょ|ที่ว่าการเขต
くやしい||เจ็บใจ, เสียใจ (ในเรื่องที่ผ่านมา)
グラウンド||สนาม, สนามแข่งขัน, สนามกีฬา
クラシック音楽|クラシックおんがく|ดนตรีคลาสสิก
クラスメイト||เพื่อนร่วมชั้น
くり返す|くりかえす|ทำซ้ำ, ซ้ำไปซ้ำมา
グループ||กลุ่ม, พวก
グループディスカッション||การอภิปรายเป็นกลุ่ม
グルメ||อาหารรสเลิศ, นักชิมอาหาร
グレー||(สี) เทา
グローバル||ทั่วโลก, กว้าง ๆ
経営（する）|けいえい（する）|การบริหาร
経営学|けいえいがく|บริหารศาสตร์
経過（する）|けいか（する）|การผ่านไป (ของเวลา), ความคืบหน้า, ความเป็นไป
計画（する）|けいかく（する）|การวางแผนหรือโครงการ, แผนงาน
計画的な|けいかくてきな|อย่างเป็นระบบ
警官（＝警察官）|けいかん|ตำรวจ
経験者|けいけんしゃ|ผู้มีประสบการณ์
敬語|けいご|คำสุภาพ, สำนวนสุภาพ
経済学|けいざいがく|เศรษฐศาสตร์
刑事|けいじ|ตำรวจฝ่ายสืบสวน, มือปราบคดีอาญา
掲示板|けいじばん|ป้ายประกาศ
継続（する）|けいぞく（する）|การดำเนินต่อเนื่อง, การทำอย่างต่อเนื่อง
芸能人|げいのうじん|นักแสดง, คนในวงการบันเทิง
契約（する）|けいやく（する）|การทำสัญญา
経歴|けいれき|ประวัติ (บุคคล), ภูมิหลัง
劇団|げきだん|คณะละคร
化粧品|けしょうひん|เครื่องสำอาง
決心（する）|けっしん（する）|การตัดสินใจ, การตกลงใจ
欠席（する）|けっせき（する）|การขาด (เรียน, ประชุม), การไม่เข้าร่วม (พิธี, สัมมนา)
結末|けつまつ|จุดลงเอย, (คดีถึง) ที่สิ้นสุด, จุดจบ
毛虫|けむし|บุ้ง
けわしい||สูงชัน, ลาดชัน, วิกฤต, รุนแรง
圏外|けんがい|นอกข่าย, นอกเขต
玄関|げんかん|ด้านหน้าของตัวบ้านหรืออาคารเป็นบริเวณที่วางรองเท้าและร่ม
原稿|げんこう|ต้นฉบับ
検査（する）|けんさ（する）|การตรวจสอบ (หาสิ่งแปลกปลอม, บัญชี)
現在|げんざい|ปัจจุบัน, ขณะนี้
現実|げんじつ|ความเป็นจริง, สภาพที่แท้จริง
研修|けんしゅう|การฝึกอบรม
建設（する）|けんせつ（する）|การก่อสร้าง, การก่อตั้ง
限定（する）|げんてい（する）|การจำกัดขอบเขตหรือจำนวน
現場|げんば|ที่เกิดเหตุ, ที่ปฏิบัติงานจริง
コアラ||หมีโคอาล่า
子犬|こいぬ|ลูกสุนัข
光栄な|こうえいな|ที่รู้สึกเป็นเกียรติ
公演（する）|こうえん（する）|การแสดงต่อหน้าสาธารณชน
講演（する）|こうえん（する）|การบรรยาย
効果|こうか|ประสิทธิผล
後悔（する）|こうかい（する）|การรู้สึกเสียใจภายหลัง
合格者|ごうかくしゃ|ผู้สอบผ่าน
合格する|ごうかくする|สอบได้, สอบผ่าน
効果的な|こうかてきな|อย่างมีประสิทธิภาพ
豪華な|ごうかな|หรูหรา, โอ่อ่า
講義|こうぎ|การบรรยายทางวิชาการ, การสอนโดยการบรรยายในมหาวิทยาลัย
工業|こうぎょう|อุตสาหกรรม
航空便|こうくうびん|ไปรษณีย์อากาศ, การส่ง (จดหมาย, พัสดุ) ทางอากาศ
攻撃（する）|こうげき（する）|การโจมตี, การรุกโจม, การบุก
高原|こうげん|ที่ราบสูง
洪水|こうずい|น้ำท่วม
高層ビル|こうそうビル|ตึกสูง, ตึกระฟ้า
高層マンション|こうそうマンション|แมนชั่นสูงหลายชั้น
交通安全|こうつうあんぜん|ความปลอดภัยในการจราจร
交通機関|こうつうきかん|ระบบคมนาคม
交通の便がいい|こうつうのべんがいい|การเดินทางสะดวก
後任|こうにん|ผู้รับตำแหน่งแทน
公用語|こうようご|ภาษาราชการ
交流（する）|こうりゅう（する）|การแลกเปลี่ยน (วัฒนธรรม), ไฟฟ้ากระแสสลับ
交流パーティー|こうりゅうパーティー|งานเลี้ยงเชื่อมความสัมพันธ์
超える|こえる|ข้าม, ผ่านเลย, เกิน
声をかける|こえをかける|ส่งเสียงเรียก
ゴールを決める|ゴールをきめる|กำหนดเป้าหมาย
誤解（する）|ごかい（する）|การเข้าใจผิด
故郷|こきょう|บ้านเกิด
国際化（する）|こくさいか（する）|การทำให้เป็นสากล, การเป็นสากล
国民|こくみん|พลเมือง, ราษฎร
心細い|こころぼそい|หวาดหวั่น, ใจฝ่อ
腰|こし|เอว, สะโพก, เชิงกราน
後日|ごじつ|วันหน้า, วันหลัง, อนาคต
こしょう||พริกไทย
個性的な|こせいてきな|มีเอกลักษณ์เฉพาะตัว
子育て|こそだて|การเลี้ยงเด็ก, การเลี้ยงบุตร
国会図書館：国会に属する国立図書館|こっかいとしょかん|หอสมุดรัฐสภา : หอสมุดรัฐบาลในสังกัดรัฐสภา รวบรวมสิ่งพิมพ์ทั้งหมดที่จัดพิมพ์ในประเทศญี่ปุ่น
断る|ことわる|ปฏิเสธ (ข้อเสนอ, คำชวน)
このあたりで||บริเวณนี้, ละแวกนี้, รอบๆ บริเวณนี้
この好み|このごのみ|ความชอบ, รสนิยม, ความพึงพอใจ
五分咲き|ごぶざき|(ดอกซากุระ) บานได้ราวครึ่งหนึ่ง
コミュニケーション||การติดต่อสื่อสาร
小麦粉|こむぎこ|แป้งสาลี
コメディー||ละครชวนหัว, ละครตลก
ゴルフ||กอล์ฟ
転ぶ|ころぶ|กลิ้ง, หกล้ม
コンタクトレンズ||คอนแทคเลนส์
婚約指輪|こんやくゆびわ|แหวนหมั้น
サークル||ชมรม, วงกลม
サービス（する）||การบริการ, การให้บริการ
最下位|さいかい|ตำแหน่งหรือลำดับต่ำสุด
災害|さいがい|ภัยพิบัติ
最高|さいこう|สูงที่สุด, ดีเยี่ยม, ยอดเยี่ยม
最新作|さいしんさく|ผลงานใหม่ล่าสุด
再度|さいど|อีกครั้ง
裁判|さいばん|การขึ้นศาล
最優先|さいゆうせん|การให้สิทธิ์เป็นอันดับแรก, การมีความสำคัญสูงสุด
盛んな|さかんな|เจริญรุ่งเรือง, ประสบผลสำเร็จ, อย่างเต็มที่
作業（する）|さぎょう（する）|งาน, การปฏิบัติการ, ขั้นตอน
削除（する）|さくじょ（する）|การลบออก, การตัดออก
昨年|さくねん|ปีที่แล้ว
昨晩|さくばん|เมื่อคืนนี้
作品|さくひん|ผลงาน, ชิ้นงาน
叫ぶ|さけぶ|ตะโกน, กรีดร้อง
（虫が動物を）刺す|（むしがどうぶつを）さす|(แมลง) กัด (สัตว์)
殺人|さつじん|การฆาตกรรม
雑草|ざっそう|หญ้า, วัชพืช
里山|さとやま|พื้นที่ระหว่างบริเวณที่อยู่อาศัยกับป่าไม้ที่ไม่ได้รับการพัฒนา
さびしい||เงียบเหงา, เปล่าเปลี่ยว
サプリメント||อาหารเสริมเพื่อสุขภาพ
サポートセンター||ศูนย์ช่วยเหลือและสนับสนุน
冷める|さめる|(อาหาร) เย็นชืด, (อารมณ์) สงบลง
サラダ||สลัด
さらに||ยิ่งไปกว่านั้น, นอกจากนั้น
サラリーマン||พนักงานกินเงินเดือน, มนุษย์เงินเดือน
猿|さる|ลิง
ざる||เครื่องจักสานที่ใช้ในครัว มีลักษณะเป็นตะแกรงแบนๆ ขนาดเล็ก
触る|さわる|จับ, แตะ, สัมผัส
参加者|さんかしゃ|ผู้เข้าร่วม
残業（する）|ざんぎょう（する）|การทำงานล่วงเวลา
サングラス||แว่นกันแดด
参考書|さんこうしょ|หนังสืออ้างอิง
参考になる|さんこうになる|ใช้อ้างอิง
酸素缶|さんそかん|กระป๋องออกซิเจน
サンタクロース||ซานตาคลอส
山頂|さんちょう|ยอดเขา
仕入れる|しいれる|สั่งซื้อสินค้าหรือวัตถุดิบ
塩|しお|เกลือ
次回|じかい|คราวต่อไป, โอกาสต่อไป
資格|しかく|ความสามารถ, คุณวุฒิ, คุณสมบัติที่ตรงตามต้องการ
しかたない||ไม่มีทางเลือก, หลีกเลี่ยงไม่ได้, ช่วยไม่ได้
四季|しき|ฤดูกาลทั้งสี่ฤดู
時期|じき|เวลาหรือจังหวะ (ที่จะทำ), ฤดู, ช่วงเวลา
時給|じきゅう|รายได้ต่อชั่วโมง
敷く|しく|แผ่, ปู, วาง
事件|じけん|คดี, เหตุร้าย
指示（する）|しじ（する）|การชี้บอกให้ทำตาม, คำแนะนำให้ปฏิบัติตาม
支持（する）|しじ（する）|การสนับสนุน
支社|ししゃ|สาขา
支持率|しじりつ|อัตราการสนับสนุน
自信|じしん|ความมั่นใจในตัวเอง, ความเชื่อมั่น, ความแน่ใจ
地震|じしん|แผ่นดินไหว
自信がつく|じしんがつく|มีความเชื่อมั่นในตัวเอง
システム||ระบบ
施設|しせつ|สถานที่, สิ่งปลูกสร้าง, อาคารสถานที่
自然|しぜん|ธรรมชาติ, เรื่องธรรมดา
事前|じぜん|ก่อนเวลาจริง, ล่วงหน้า
時代|じだい|ยุค, สมัย
親しむ|したしむ|สนิทสนม, คุ้นเคย, เคยชิน
市長|しちょう|นายกเทศมนตรี
実感（する）|じっかん（する）|การได้สัมผัสด้วยตัวเอง, การรู้ซึ้งถึง, การตระหนัก
実際|じっさい|ความจริง, โดยแท้จริง, อย่างแท้จริง
実施（する）|じっし（する）|การบังคับใช้, การใช้ปฏิบัติ, การบังคับใช้จริง
湿度|しつど|ระดับความชื้น
じっとする||(อยู่) นิ่งๆ, (จ้อง) เขม็ง
失敗（する）|しっぱい（する）|ความล้มเหลว, ความผิดพลาด
しっぽ||หาง
指導（する）|しどう（する）|การชี้แนะ, การแนะนำสั่งสอน
指導員|しどういん|ผู้ชี้แนะ, ผู้ชี้นำ
自動販売機|じどうはんばいき|เครื่องขายของอัตโนมัติ
支払い|しはらい|การจ่าย (เงิน), การชำระ (เงิน)
支払う|しはらう|จ่าย (เงิน), ชำระ (เงิน)
私費留学生|しひりゅうがくせい|นักศึกษาต่างชาติทุนส่วนตัว
市民|しみん|ชาวเมือง
市民団体|しみんだんたい|กลุ่มชาวเมือง
市民農園|しみんのうえん|แปลงเกษตรสำหรับชาวเมือง
しめ切り|しめきり|วันหมดเขต, วันสิ้นสุด (การรับสมัคร)
占める|しめる|ยึด, ครอง, ครอบครอง
～者：～する人という意味を表す|～しゃ|ผู้... : แสดงความหมายที่ใช้เรียกผู้ที่ทำ...
視野|しや|สายตา, วิสัยทัศน์, โลกทัศน์, ขอบเขตที่มองเห็น
社会人|しゃかいじん|คนที่ทำงานแล้ว, คนในสังคม
写真家|しゃしんか|ช่างภาพ, ช่างถ่ายรูป
